note	team	type	player	type_cd	team_id	player_id	name_sort	from_team	trans_date	orig_asset	final_asset	from_team_id	resolution_cd	trans_date_cd	transaction_id	conditional_sw	effective_date	orig_asset_type	resolution_date	final_asset_type	name_display_last_first	name_display_first_last
New York Mets invited non-roster SS Gavin Cecchini to spring training.	New York Mets	Assigned	Gavin Cecchini	ASG	121	608325	CECCHINI, GAVIN		2016-02-17T00:00:00	Player			FIN	D	254958		2016-02-17T00:00:00	PL	2016-02-17T00:00:00		Cecchini, Gavin	Gavin Cecchini
San Diego Padres invited non-roster 3B Carlos Asuaje to spring training.	San Diego Padres	Assigned	Carlos Asuaje	ASG	135	641319	ASUAJE, CARLOS		2016-02-17T00:00:00	Player			FIN	D	254963		2016-02-17T00:00:00	PL	2016-02-17T00:00:00		Asuaje, Carlos	Carlos Asuaje
New York Mets invited non-roster RF Travis Taijeron to spring training.	New York Mets	Assigned	Travis Taijeron	ASG	121	607369	TAIJERON, TRAVIS		2016-02-17T00:00:00	Player			FIN	D	254961		2016-02-17T00:00:00	PL	2016-02-17T00:00:00		Taijeron, Travis	Travis Taijeron
New York Mets invited non-roster RHP Zach Thornton to spring training.	New York Mets	Assigned	Zach Thornton	ASG	121	543856	THORNTON, ZACH		2016-02-17T00:00:00	Player			FIN	D	254962		2016-02-17T00:00:00	PL	2016-02-17T00:00:00		Thornton, Zach	Zach Thornton
New York Mets invited non-roster SS T.J. Rivera to spring training.	New York Mets	Assigned	T.J. Rivera	ASG	121	608061	RIVERA, T.J.		2016-02-17T00:00:00	Player			FIN	D	254959		2016-02-17T00:00:00	PL	2016-02-17T00:00:00		Rivera, T.J.	T.J. Rivera
San Diego Padres invited non-roster C Jason Hagerty to spring training.	San Diego Padres	Assigned	Jason Hagerty	ASG	135	571734	HAGERTY, JASON		2016-02-17T00:00:00	Player			FIN	D	254964		2016-02-17T00:00:00	PL	2016-02-17T00:00:00		Hagerty, Jason	Jason Hagerty
San Diego Padres invited non-roster RF Hunter Renfroe to spring training.	San Diego Padres	Assigned	Hunter Renfroe	ASG	135	592669	RENFROE, HUNTER		2016-02-17T00:00:00	Player			FIN	D	254968		2016-02-17T00:00:00	PL	2016-02-17T00:00:00		Renfroe, Hunter	Hunter Renfroe
Oakland Athletics signed free agent C Bryan Anderson to a minor league contract.	Oakland Athletics	Signed as Free Agent	Bryan Anderson	SFA	133	457762	ANDERSON, BRYAN		2016-02-17T00:00:00	Player			FIN	D	255259		2016-02-17T00:00:00	PL	2016-02-17T00:00:00		Anderson, Bryan	Bryan Anderson
Chicago White Sox signed free agent OF Enrique Felix to a minor league contract.	Chicago White Sox	Signed as Free Agent	Enrique Felix	SFA	145	667542	FELIX, ENRIQUE		2016-02-17T00:00:00	Player			FIN	D	255245		2016-02-17T00:00:00	PL	2016-02-17T00:00:00		Felix, Enrique	Enrique Felix
Tampa Bay Rays placed RHP Chase Whitley on the 60-day disabled list. Recovering from May 2015 Tommy John surgery.	Tampa Bay Rays	Status Change	Chase Whitley	SC	139	595032	WHITLEY, CHASE		2016-02-18T00:00:00	Player			FIN	D	254988		2016-02-18T00:00:00	PL	2016-02-18T00:00:00		Whitley, Chase	Chase Whitley
Colorado Rockies placed RHP Adam Ottavino on the 60-day disabled list. Recovering from May 2015 Tommy John surgery	Colorado Rockies	Status Change	Adam Ottavino	SC	115	493603	OTTAVINO, ADAM		2016-02-18T00:00:00	Player			FIN	D	254996		2016-02-18T00:00:00	PL	2016-02-18T00:00:00		Ottavino, Adam	Adam Ottavino
Kevin Plawecki changed number to 26.	New York Mets	Number Change	Kevin Plawecki	NUM	121	608700	PLAWECKI, KEVIN		2016-02-18T00:00:00	Player			FIN	D	255037		2016-02-18T00:00:00	PL	2016-02-18T00:00:00		Plawecki, Kevin	Kevin Plawecki
Colorado Rockies claimed Tony Wolters off waivers from Cleveland Indians.	Colorado Rockies	Claimed Off Waivers	Tony Wolters	CLW	115	547172	WOLTERS, TONY	Cleveland Indians	2016-02-18T00:00:00	Player		114		D	254995	N	2016-02-18T00:00:00	PL			Wolters, Tony	Tony Wolters
Tampa Bay Rays signed free agent RHP Ryan Webb.	Tampa Bay Rays	Signed as Free Agent	Ryan Webb	SFA	139	444436	WEBB, RYAN		2016-02-18T00:00:00	Player			FIN	D	254987		2016-02-18T00:00:00	PL	2016-02-18T00:00:00		Webb, Ryan	Ryan Webb
Kansas City Royals signed free agent SS Clint Barmes to a minor league contract and invited him to spring training.	Kansas City Royals	Signed as Free Agent	Clint Barmes	SFA	118	425549	BARMES, CLINT		2016-02-18T00:00:00	Player			FIN	D	254989		2016-02-18T00:00:00	PL	2016-02-18T00:00:00		Barmes, Clint	Clint Barmes
Kansas City Royals signed free agent LHP Brian Duensing to a minor league contract and invited him to spring training.	Kansas City Royals	Signed as Free Agent	Brian Duensing	SFA	118	488846	DUENSING, BRIAN		2016-02-18T00:00:00	Player			FIN	D	254993		2016-02-18T00:00:00	PL	2016-02-18T00:00:00		Duensing, Brian	Brian Duensing
Kansas City Royals signed free agent RHP Ross Ohlendorf to a minor league contract and invited him to spring training.	Kansas City Royals	Signed as Free Agent	Ross Ohlendorf	SFA	118	456027	OHLENDORF, ROSS		2016-02-18T00:00:00	Player			FIN	D	254991		2016-02-18T00:00:00	PL	2016-02-18T00:00:00		Ohlendorf, Ross	Ross Ohlendorf
Washington Nationals signed free agent RHP Matt Belisle to a minor league contract.	Washington Nationals	Signed as Free Agent	Matt Belisle	SFA	120	279571	BELISLE, MATT		2016-02-18T00:00:00	Player			FIN	D	255261		2016-02-18T00:00:00	PL	2016-02-18T00:00:00		Belisle, Matt	Matt Belisle
